A,B,Value
m1 max,m3 max,0.985
m1 max,m2 pro,0.985
m2 pro,m3 max,0.971
i7 8700,n150,0.941
epyc 77131,m1 max,0.897
epyc 77131,n150,0.897
epyc 77131,m3 max,0.882
epyc 77131,m2 pro,0.882
m1 max,n150,0.853
m1 max,i7 8700,0.853
m3 max,n150,0.838
m3 max,i7 8700,0.838
m2 pro,n150,0.838
m2 pro,i7 8700,0.838
i7 8700,epyc 77131,0.838
m3 max,m1 max,0.985
m2 pro,m1 max,0.985
m3 max,m2 pro,0.971
n150,i7 8700,0.941
m1 max,epyc 77131,0.897
n150,epyc 77131,0.897
m3 max,epyc 77131,0.882
m2 pro,epyc 77131,0.882
n150,m1 max,0.853
i7 8700,m1 max,0.853
n150,m3 max,0.838
i7 8700,m3 max,0.838
n150,m2 pro,0.838
i7 8700,m2 pro,0.838
epyc 77131,i7 8700,0.838
