"","language","correlation"
"1","C",0.8
"2","CSharp",0.5
"3","Erlang",0.5
"4","FSharp",0.428571428571429
"5","Fortran",0.466666666666667
"6","Go",0.785714285714286
"7","JRuby",0.714285714285714
"8","Java",0.619047619047619
"9","JavaScript",0.571428571428571
"10","Lisp",0.733333333333333
"11","Lua",0.714285714285714
"12","PHP",0.928571428571429
"13","Perl",0.571428571428571
"14","Python",0.642857142857143
"15","Racket",0.785714285714286
"16","Rust",0.333333333333333
"17","TypeScript",0.928571428571429
